,Keyword,Time,count
0,Wendy,2018-10-1 19:00,1
1,GrowingUpSwedish,2018-10-2 4:00,1
2,IVYSONTOUR2018,2018-10-1 16:00,1
3,mylittlepony,2018-10-1 13:00,1
4,JBAUSA,2018-10-1 17:00,1
5,Now,2018-10-1 22:00,1
6,LULLABY,2018-10-1 18:00,1
7,growthhacking,2018-10-1 23:00,1
8,TheMusicVideo,2018-10-1 23:00,1
9,EXO,2018-10-1 20:00,1
10,クッパ姫,2018-10-1 22:00,1
11,2019GantiPresiden,2018-10-1 18:00,1
12,VoteGOP,2018-10-1 22:00,1
13,HairyPussy,2018-10-1 7:00,1
14,sugarshack,2018-10-1 14:00,1
15,1FIRST,2018-10-1 19:00,1
16,Bepannaah,2018-10-1 17:00,1
17,DoDamage,2018-10-1 14:00,9
18,shopmycloset,2018-10-1 14:00,1
19,TheFemaleArtist,2018-10-2 5:00,1
20,พอลแทน,2018-10-1 17:00,1
21,suga,2018-10-1 7:00,1
22,China,2018-10-2 5:00,1
23,NN15,2018-10-1 7:00,1
24,Decorartehogar,2018-10-1 13:00,2
25,SENORITA,2018-10-1 20:00,1
26,PresentYOU,2018-10-1 16:00,1
27,TheGroup,2018-10-1 10:00,3
28,livemusic,2018-10-2 1:00,1
29,OtraVez,2018-10-2 1:00,1
30,jaehyun,2018-10-2 5:00,1
31,PrayForJos,2018-10-1 21:00,1
32,HappyIndependenceNG,2018-10-1 21:00,1
33,XRP,2018-10-1 19:00,1
34,pfw,2018-10-2 2:00,1
35,TSR,2018-10-1 21:00,1
36,96TheMovie,2018-10-1 13:00,1
37,KallysMashup,2018-10-1 19:00,1
38,ChildsPlay,2018-10-2 4:00,1
39,company,2018-10-1 11:00,1
40,ModernFamily,2018-10-1 15:00,1
41,qanda,2018-10-1 12:00,1
42,iKON,2018-10-1 12:00,1
43,BTSARMY,2018-10-1 17:00,1
44,ASMSG,2018-10-1 14:00,1
45,IDOL,2018-10-2 5:00,2
46,climatechange,2018-10-1 20:00,1
47,WomenExecutives,2018-10-1 15:00,1
48,Jadine,2018-10-1 13:00,1
49,PCAs,2018-10-1 9:00,6
50,FBRParty,2018-10-1 13:00,1
51,Spooky,2018-10-1 16:00,1
52,UK,2018-10-1 10:00,1
53,Colorful,2018-10-1 20:00,1
54,Singularity,2018-10-1 9:00,1
55,진,2018-10-2 3:00,1
56,2008lewks,2018-10-1 18:00,1
57,Tretorn,2018-10-1 12:00,1
58,me,2018-10-1 23:00,1
59,GrandBlanc,2018-10-1 19:00,1
60,EleNão,2018-10-1 17:00,1
61,ドット絵,2018-10-1 17:00,1
62,HappySOJINday,2018-10-2 4:00,1
63,GainWithTrevor,2018-10-1 16:00,1
64,selfie,2018-10-1 18:00,1
65,SUPERJUNIOR,2018-10-2 4:00,2
66,jojo,2018-10-1 17:00,1
67,IDOL,2018-10-1 19:00,2
68,nct,2018-10-1 15:00,1
69,Egypt,2018-10-1 11:00,1
70,R34,2018-10-1 18:00,1
71,AMAs,2018-10-1 8:00,1
72,Earpers,2018-10-1 9:00,1
73,techstartup,2018-10-1 9:00,1
74,Node,2018-10-1 15:00,1
75,WordForTheDay,2018-10-1 7:00,1
76,BTS,2018-10-1 10:00,5
77,석진,2018-10-2 3:00,1
78,FunkoNYCC,2018-10-1 14:00,1
79,SASCOKZN,2018-10-1 13:00,1
80,igot7,2018-10-1 12:00,1
81,BotaForTheWin,2018-10-2 1:00,1
82,gofood,2018-10-1 14:00,1
83,wdayrising,2018-10-1 23:00,1
84,Medicina,2018-10-2 3:00,6
85,BTS,2018-10-1 9:00,7
86,arttherapy,2018-10-2 2:00,1
87,ShimzaAllNightLong,2018-10-1 19:00,1
88,5SOS,2018-10-1 17:00,1
89,DJStormMollison,2018-10-2 5:00,1
90,MNTwins,2018-10-1 11:00,1
91,MPN,2018-10-1 13:00,3
92,TrumpLIARS,2018-10-1 16:00,1
93,divinewords,2018-10-1 19:00,1
94,NUESTW,2018-10-1 22:00,1
95,Unbranded,2018-10-1 11:00,1
96,재범,2018-10-1 11:00,1
97,sex,2018-10-1 8:00,1
98,FFF2018,2018-10-1 10:00,1
99,LONDON,2018-10-1 7:00,1
100,ARSD,2018-10-1 18:00,1
101,MINO,2018-10-1 13:00,1
102,mySweetPocketMusic,2018-10-1 8:00,1
103,hamburgplace,2018-10-1 15:00,1
104,V,2018-10-1 8:00,1
105,KCvsDEN,2018-10-2 1:00,3
106,TheGroup,2018-10-1 8:00,3
107,강다니엘,2018-10-1 15:00,1
108,Education,2018-10-2 0:00,1
109,bug,2018-10-1 21:00,1
110,Politics,2018-10-1 13:00,1
111,makeupartist,2018-10-2 0:00,1
112,bowsette,2018-10-1 12:00,1
113,GENL,2018-10-1 20:00,1
114,theYlabel,2018-10-1 11:00,1
115,MaiaReficco,2018-10-2 0:00,1
116,blackpeople,2018-10-1 15:00,1
117,CardiB,2018-10-1 18:00,1
118,TreCru,2018-10-1 11:00,1
119,INKTOBER,2018-10-1 14:00,1
120,Taiji,2018-10-1 23:00,1
121,ContemporaryRomance,2018-10-2 0:00,1
122,InceptionEsports,2018-10-1 8:00,1
123,IRGC,2018-10-1 15:00,1
124,옹성우,2018-10-1 7:00,1
125,KallysMashup,2018-10-1 9:00,1
126,레드벨벳,2018-10-1 13:00,1
127,KumkumBhagya,2018-10-1 11:00,1
128,obama,2018-10-1 13:00,1
129,SaamySquare,2018-10-1 8:00,1
130,BTS,2018-10-1 17:00,7
