,Title,Year completed,Type
0,Sketches by Boz,1836,Short Stories
1,The Pickwick Papers,1837,Novel
2,The Mudfog Papers,1838,Short Stories
3,Oliver Twist,1839,Novel
4,Nicholas Nickleby,1839,Novel
5,The Old Curiosity Shop,1841,Novel
6,Barnaby Rudge,1841,Novel
7,Master Humphrey's Clock,1841,Short Story
8,American Notes,1842,Non-fiction Travelogue
9,A Christmas Carol,1843,Novella
10,Martin Chuzzlewit,1844,Novel
11,The Chimes,1844,Novella
12,The Cricket on the Hearth,1845,Novella
13,Pictures from Italy,1846,Non-fiction Travelogue
14,The Battle of Life,1846,Novella
15,Dombey and Son,1848,Novel
16,The Haunted Man and the Ghost's Bargain,1848,Novella
17,The Life of Our Lord,1849,Religious History
18,David Copperfield,1850,Novel
19,A Child's History of England,1853,Non-fiction History
20,Bleak House,1853,Novel
21,"""The Long Voyage""",1853,Short Story
22,Hard Times,1854,Novel
23,"""The Holly-Tree Inn""[1]",1855,Short Story
24,Little Dorrit,1857,Novel
25,The Lazy Tour of Two Idle Apprentices,1857,Short Story
26,Reprinted Pieces,1858,Short Stories
27,A Tale of Two Cities,1859,Novel
28,"""The Haunted House""",1859,Short Story
29,Great Expectations,1861,Novel
30,"""Somebody's Luggage""[citation needed]",1862,Short Story
31,Mrs Lirriper's Lodgings / Legacy[citation needed],1864,Short Stories
32,Our Mutual Friend,1865,Novel
33,"""The Signal-Man""",1866,Short Story
34,"""No Thoroughfare""",1867,Short Story
35,"""A Holiday Romance""",1868,Short Story
36,The Uncommercial Traveller,1869,Short Stories and Reminiscences
37,The Mystery of Edwin Drood,1870,Novel (unfinished)
